date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:20	227/227	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/action-white.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/action-white.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:50:21	243/243	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/alert-white.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/alert-white.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:50:21	173/173	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-d-l-white.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-d-l-white.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:50:22	171/171	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-d-r-white.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-d-r-white.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:50:23	149/149	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-d-white.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-d-white.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:50:23	156/156	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-l-white.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-l-white.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:50:24	152/152	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-r-white.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-r-white.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:50:24	169/169	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-u-l-white.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-u-l-white.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:50:25	165/165	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-u-r-white.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-u-r-white.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:50:26	151/151	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-u-white.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/arrow-u-white.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:50:27	314/314	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/audio-white.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/audio-white.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:50:28	240/240	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/back-white.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/back-white.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
